rank,name,confed,off,def,spi
203,Brunei,AFC,0.21,3.71,2.13
204,Sri Lanka,AFC,0.23,3.9,1.92
205,St. Martin,CONCACAF,0.29,4.19,1.78
206,Pakistan,AFC,0.2,3.92,1.71
207,Laos,AFC,0.21,4.11,1.48
208,British Virgin Islands,CONCACAF,0.28,4.52,1.29
209,US Virgin Islands,CONCACAF,0.2,4.25,1.28
210,Anguilla,CONCACAF,0.22,4.34,1.26
211,Bhutan,AFC,0.22,4.62,0.98
212,Turks and Caicos Islands,CONCACAF,0.46,5.62,0.87
213,Tuvalu,OFC,0.38,5.62,0.7
214,Timor-Leste,AFC,0.33,5.56,0.64
215,Macau,AFC,0.2,5.11,0.6
216,Sint Maarten,CONCACAF,0.22,5.59,0.43
217,Samoa,OFC,0.2,5.78,0.34
218,Tonga,OFC,0.2,6.08,0.26
